STATE,state,year,wbgt_26_diff,wbgt_30_diff
IA,19,1988,0.9536461603224886,0.511576668798907
IA,19,1989,0.47229467694058513,0.20064251779902104
IA,19,1990,2.0347464867815788,0.2994425727692514
IA,19,1991,2.502982941434105,0
IA,19,1992,0.4038566601714195,0
IA,19,1993,2.7827861488911285,0.0206658378470742
IA,19,1994,2.052825813579261,0
IA,19,1995,1.6673129833063314,0.7398192162821187
IA,19,1996,1.3080843819755028,0.23537098911108664
IA,19,1997,1.7792889910007332,0.2691783996236272
IA,19,1998,3.7792868398963115,0.44061083683108127
IA,19,1999,2.047144537403362,0.574128475543179
IA,19,2000,2.6015936218922633,0.20022638386600733
IA,19,2001,1.555874485646008,0.7926438854375113
IA,19,2002,2.5422774194414295,0.2638684674273174
IA,19,2003,1.569288989942926,0.5640870228026296
IA,19,2004,1.1773867956950204,0.09829756563967595
IA,19,2005,2.1031024891621257,0.41853793560801056
IA,19,2006,2.3598835301137697,0.514421004947305
IA,19,2007,1.530846299303196,0.14445655867944907
IA,19,2008,2.0285795678468466,0.2242365292401381
IA,19,2009,1.2883969589880975,0.08464206409565622
IA,19,2010,1.6847108235812236,0.06062678543888511
IA,19,2011,2.116143920315867,0.7329973916625736
IA,19,2012,2.5929135411920363,0.14208539015123928
IA,19,2013,1.8158603093897732,0.004619106972651954
IA,19,2014,1.5874306059118846,5.865532663685021e-4
IA,19,2015,1.2798938036779415,0.22763053594970825
IA,19,2016,2.3431744696680106,0.030176492899422147
IA,19,2017,1.6413374623315509,0.3206280100752329
IA,19,2018,3.4192994309151707,0.004619106972651954
IA,19,2019,2.778216620037341,0.14850939299446742
IA,19,2020,2.3146695831749646,0.16576090010413808
ID,16,1982,0.5534966768892534,0
ID,16,1983,2.4988054560254525,0
ID,16,1984,2.9800756543023015,0
ID,16,1985,2.1064421024582347,0
ID,16,1986,1.6056326111805705,0
ID,16,1987,1.7016169888411732,0
ID,16,1988,3.8950286909399128,0
ID,16,1989,4.6719794606203715,0
ID,16,1990,7.526317819860979,0.010706638115631691
ID,16,1991,3.816854751181892,0
ID,16,1992,5.118553961208541,0
ID,16,1993,0.4633194808041319,0
ID,16,1994,7.541222067174349,0
ID,16,1995,1.439098115512887,0
ID,16,1996,4.158695146946829,0
ID,16,1997,2.3493183775202304,0
ID,16,1998,8.798965169978853,0
ID,16,1999,2.569287609175794,0
ID,16,2000,4.299790659598658,0
ID,16,2001,3.9207833050318994,0.0036581013561741613
ID,16,2002,4.09253372804707,0.032209136331192004
ID,16,2003,6.096181851138764,0.010795860099928622
ID,16,2004,3.4518784641113225,0
ID,16,2005,4.202344243301277,0
ID,16,2006,4.336944091789745,0.0036581013561741613
ID,16,2007,4.895619392547923,0
ID,16,2008,2.489642920025505,0
ID,16,2009,2.578217281114078,0
ID,16,2010,1.9274183254419905,0
ID,16,2011,1.1462683613539941,0
ID,16,2012,3.454601651555837,0
ID,16,2013,3.4452962782767056,0.010706638115631691
ID,16,2014,2.376061957681194,0
ID,16,2015,4.5783424045126795,0
ID,16,2016,3.0312743243917124,0
ID,16,2017,4.039695173007251,0
ID,16,2018,2.7341176966639607,0
ID,16,2019,1.4897962180770459,0
ID,16,2020,2.5470543135031427,0
IL,17,1982,6.639181042163356,0.08987995621260889
IL,17,1983,10.523339937982016,1.4321206609360395
IL,17,1984,7.589355383926172,0.33927375245033237
IL,17,1985,6.807297807684536,0.039741628102988175
IL,17,1986,9.473751978051762,0.06632854110042513
IL,17,1987,8.96730071769166,0.7763282228179045
IL,17,1988,3.067787253102452,1.280491746919971
IL,17,1989,8.525263095570336,0.15981592731123834
IL,17,1990,7.438366399827235,0.3081398257528952
IL,17,1991,7.848349236564481,-0.012556537576860396
