STATE,state,year,fed_prison_type,wbgt_26_prison,wbgt_28_prison,wbgt_30_prison,wbgt_35_prison,wbgt_26_state,wbgt_28_state,wbgt_30_state,wbgt_35_state,wbgt_26_diff,wbgt_28_diff,wbgt_30_diff,wbgt_35_diff
LA,22,1993,Work camp,100.62251655629139,53.18543046357616,1.8741721854304636,0,103.4337141729226,53.00176141012893,2.1697922448839644,0,-2.811197616631219,0.1836690534472325,-0.2956200594535008,0
LA,22,1994,FCI,84.40872180451127,28.385563909774437,0,0,87.20313257263228,27.546051150079784,0,0,-2.7944107681210113,0.839512759694653,0,0
LA,22,1994,ICE facility,84,26,0,0,87.20313257263228,27.546051150079784,0,0,-3.203132572632285,-1.5460511500797836,0,0
LA,22,1994,USP,80,21,0,0,87.20313257263228,27.546051150079784,0,0,-7.203132572632285,-6.5460511500797836,0,0
LA,22,1994,Work camp,81.93377483443709,24.99337748344371,0,0,87.20313257263228,27.546051150079784,0,0,-5.269357738195197,-2.5526736666360748,0,0
LA,22,1995,FCI,103.11308270676692,57.817443609022554,7.704360902255639,0,103.70882841997735,62.873174690935535,9.091502905261946,0,-0.5957457132104338,-5.055731081912981,-1.3871420030063062,0
LA,22,1995,ICE facility,92,52,5,0,103.70882841997735,62.873174690935535,9.091502905261946,0,-11.708828419977351,-10.873174690935535,-4.091502905261946,0
LA,22,1995,USP,98,51,6,0,103.70882841997735,62.873174690935535,9.091502905261946,0,-5.708828419977351,-11.873174690935535,-3.0915029052619456,0
LA,22,1995,Work camp,101.37086092715232,56.24503311258278,6.748344370860927,0,103.70882841997735,62.873174690935535,9.091502905261946,0,-2.3379674928250296,-6.6281415783527535,-2.3431585344010184,0
LA,22,1996,FCI,94.49864661654135,40.5218045112782,0.5681203007518797,0,96.08593602412616,40.91576236389424,1.0305280188557215,0,-1.5872894075848052,-0.3939578526160403,-0.46240771810384185,0
LA,22,1996,ICE facility,82,30,0,0,96.08593602412616,40.91576236389424,1.0305280188557215,0,-14.085936024126156,-10.915762363894238,-1.0305280188557215,0
LA,22,1996,USP,82,31,0,0,96.08593602412616,40.91576236389424,1.0305280188557215,0,-14.085936024126156,-9.915762363894238,-1.0305280188557215,0
LA,22,1996,Work camp,91.05298013245033,36.3046357615894,0.4370860927152318,0,96.08593602412616,40.91576236389424,1.0305280188557215,0,-5.032955891675826,-4.611126602304836,-0.5934419261404897,0
LA,22,1997,FCI,92.24932330827068,51.08992481203008,2.56812030075188,0,93.25326238823126,47.05666749075054,2.5889943862018954,0,-1.0039390799605883,4.033257321279535,-0.020874085450015567,0
LA,22,1997,ICE facility,88,42,2,0,93.25326238823126,47.05666749075054,2.5889943862018954,0,-5.2532623882312635,-5.056667490750542,-0.5889943862018954,0
LA,22,1997,USP,86,41,1,0,93.25326238823126,47.05666749075054,2.5889943862018954,0,-7.2532623882312635,-6.056667490750542,-1.5889943862018954,0
LA,22,1997,Work camp,90.24503311258277,48.43046357615894,1.8741721854304636,0,93.25326238823126,47.05666749075054,2.5889943862018954,0,-3.008229275648489,1.3737960854084008,-0.7148222007714318,0
LA,22,1998,FCI,129.56812030075187,87.38556390977443,21.385563909774437,0,124.77322928133496,84.88665540327506,14.851345301174863,0,4.794891019416909,2.498908506499376,6.5342186085995735,0
LA,22,1998,ICE facility,125,77,21,0,124.77322928133496,84.88665540327506,14.851345301174863,0,0.22677071866503695,-7.886655403275057,6.148654698825137,0
LA,22,1998,USP,129,80,13,0,124.77322928133496,84.88665540327506,14.851345301174863,0,4.226770718665037,-4.886655403275057,-1.851345301174863,0
LA,22,1998,Work camp,129.43708609271522,85.11920529801324,18.556291390728475,0,124.77322928133496,84.88665540327506,14.851345301174863,0,4.663856811380256,0.23254989473818455,3.704946089553612,0
LA,22,1999,FCI,98.97684210526316,52.272481203007516,9.408721804511279,0,96.1181576623623,48.10874838678438,8.955991410530507,0,2.8586844429008664,4.163732816223138,0.4527303939807723,0
LA,22,1999,ICE facility,94,46,4,0,96.1181576623623,48.10874838678438,8.955991410530507,0,-2.118157662362293,-2.1087483867843773,-4.9559914105305065,0
LA,22,1999,USP,94,49,6,0,96.1181576623623,48.10874838678438,8.955991410530507,0,-2.118157662362293,0.8912516132156227,-2.9559914105305065,0
LA,22,1999,Work camp,96.37086092715232,48.93377483443709,7.496688741721854,0,96.1181576623623,48.10874838678438,8.955991410530507,0,0.25270326479002847,0.8250264476527107,-1.4593026688086521,0
LA,22,2000,FCI,112.38556390977443,68.79428571428572,13.544962406015038,0,109.84159006772312,60.15692264000528,10.028179839150605,0,2.543973842051315,8.637363074280444,3.5167825668644337,0
LA,22,2000,ICE facility,110,62,11,0,109.84159006772312,60.15692264000528,10.028179839150605,0,0.15840993227688216,1.843077359994723,0.9718201608493953,0
LA,22,2000,USP,105,59,9,0,109.84159006772312,60.15692264000528,10.028179839150605,0,-4.841590067723118,-1.156922640005277,-1.0281798391506047,0
LA,22,2000,Work camp,111.24503311258277,65.74172185430463,12.496688741721854,0,109.84159006772312,60.15692264000528,10.028179839150605,0,1.4034430448596567,5.584799214299352,2.4685089025712497,0
LA,22,2001,FCI,86.70436090225564,40.70436090225564,1.4318796992481202,0,87.45226675599476,36.14952985512101,0.6381946793959188,0,-0.7479058537391126,4.554831047134627,0.7936850198522014,0
LA,22,2001,ICE facility,80,39,1,0,87.45226675599476,36.14952985512101,0.6381946793959188,0,-7.452266755994756,2.85047014487899,0.3618053206040812,0
LA,22,2001,USP,85,39,1,0,87.45226675599476,36.14952985512101,0.6381946793959188,0,-2.4522667559947564,2.85047014487899,0.3618053206040812,0
LA,22,2001,Work camp,85.74834437086092,39.74834437086093,1,0,87.45226675599476,36.14952985512101,0.6381946793959188,0,-1.7039223851338363,3.5988145157399174,0.3618053206040812,0
LA,22,2002,FCI,104.65804511278195,36.11308270676692,0,0,108.75170364579199,37.822640950604,0.16571597817074235,0,-4.093658533010043,-1.7095582438370798,-0.16571597817074235,0
LA,22,2002,ICE facility,101,35,0,0,108.75170364579199,37.822640950604,0.16571597817074235,0,-7.7517036457919914,-2.822640950603997,-0.16571597817074235,0
LA,22,2002,USP,95,31,0,0,108.75170364579199,37.822640950604,0.16571597817074235,0,-13.751703645791991,-6.822640950603997,-0.16571597817074235,0
LA,22,2002,Work camp,102.43046357615894,35.496688741721854,0,0,108.75170364579199,37.822640950604,0.16571597817074235,0,-6.321240069633049,-2.3259522088821427,-0.16571597817074235,0
LA,22,2003,FCI,96.8406015037594,49.54496240601504,2.1362406015037596,0,98.40824438260029,41.88472347746382,0.9608426552993756,0,-1.5676428788408856,7.660238928551216,1.175397946204384,0
LA,22,2003,ICE facility,89,36,2,0,98.40824438260029,41.88472347746382,0.9608426552993756,0,-9.408244382600287,-5.884723477463822,1.0391573447006244,0
LA,22,2003,USP,94,45,1,0,98.40824438260029,41.88472347746382,0.9608426552993756,0,-4.408244382600287,3.1152765225361776,0.039157344700624375,0
